,hours,temp,hvac
1,0,21.43612903225807,37.25975603256654
3,0,14.524821428571428,21.861592449260407
5,0,19.815645161290323,25.97262378873778
7,0,24.466481481481484,30.66219871850787
9,0,20.884354838709676,17.55698275193278
11,0,29.404166666666672,34.04325219290099
13,0,28.04725806451612,25.980090295451983
15,0,32.443387096774195,39.6077489887085
17,0,34.519833333333324,43.712482107069924
19,0,31.971612903225807,19.37296069798257
21,0,24.660500000000003,12.352675298892713
23,0,20.052741935483876,30.240989796795915
25,1,21.3458064516129,35.19858876357561
27,1,14.417142857142858,24.947298799234602
29,1,19.580483870967736,27.160600399709878
31,1,23.73155172413793,29.226572485350673
33,1,20.674354838709675,15.44703726888051
35,1,28.789833333333334,31.40211154582447
37,1,27.882741935483875,26.673024700845254
39,1,32.23516129032258,37.94598016361649
41,1,33.695499999999996,41.821396143704796
43,1,31.528548387096773,16.364401868086976
45,1,23.956774193548387,11.56391384740741
47,1,19.77548387096774,28.41653059855521
49,2,21.104999999999997,33.51622890866874
51,2,14.254642857142859,23.390234455624356
53,2,19.500333333333337,24.309261504959615
55,2,23.910357142857144,28.496430953302372
57,2,20.61435483870968,17.622649716191773
59,2,28.515166666666673,32.30334876312045
61,2,27.644193548387097,25.877872176162064
63,2,31.998225806451615,39.08210692911535
65,2,33.02133333333333,40.17170168196741
67,2,31.354999999999993,15.259754950928352
69,2,22.978666666666662,11.993771950827522
71,2,19.742741935483874,28.09300718514014
73,3,20.864354838709676,34.813597385006624
75,3,14.134642857142854,22.40140749659188
77,3,18.908709677419356,26.501246541567916
79,3,23.378620689655172,29.175014958455353
81,3,20.347580645161287,14.947857251183196
83,3,28.093500000000002,30.57587935165632
85,3,27.28516129032258,24.441158003826203
87,3,31.77629032258064,38.84688984385927
89,3,32.77100000000001,40.282189077825336
91,3,30.487258064516126,16.965057651223702
93,3,22.703833333333332,10.665444010464368
95,3,19.671129032258058,26.25770930113273
97,4,20.862258064516126,33.95506855066588
99,4,13.668392857142853,19.575237789633398
101,4,18.683064516129033,24.382067509316496
103,4,23.189285714285713,26.95018326222496
105,4,20.245806451612903,17.128300623380518
107,4,27.723833333333335,30.79183076805284
109,4,26.602580645161286,24.345812088777173
111,4,31.41887096774193,36.28394235811274
113,4,32.641000000000005,41.46080167680618
115,4,29.629354838709677,15.094415282999678
117,4,22.506333333333334,10.361359348333556
119,4,19.396935483870973,26.34547976999279
121,5,20.38516129032258,36.426319963840804
123,5,13.171964285714283,19.913751492263568
125,5,18.29225806451613,25.529597783967674
127,5,22.877758620689654,26.209170729355982
129,5,20.070000000000004,20.33260048259027
131,5,27.44766666666666,29.28382037693361
133,5,26.80161290322581,25.305881713379538
135,5,31.412741935483872,38.910694336526475
137,5,32.00083333333333,41.95451156706138
139,5,28.72612903225806,15.168753789522395
141,5,22.573500000000003,10.925976123200812
143,5,19.159838709677416,26.28963151762167
145,6,20.319354838709685,37.01256608169582
147,6,12.876964285714283,23.271676587301588
149,6,18.041129032258066,24.433314804425294
151,6,22.686851851851845,28.3305045544196
153,6,20.10225806451613,16.89010432567997
155,6,27.654000000000003,28.11125399727865
157,6,26.623225806451615,22.452007295238765
159,6,31.03096774193548,39.73040962113437
161,6,31.45783333333333,39.928601551915285
163,6,28.40370967741935,16.191243526225975
165,6,22.22716666666667,10.86428353223722
167,6,18.9108064516129,29.22704157028812
169,7,20.1091935483871,40.052460319468544
171,7,12.909285714285714,23.88247609372696
173,7,18.28435483870967,24.965961167206878
175,7,22.935,27.623484925709484
177,7,20.493548387096777,19.662971280368453
179,7,28.321500000000004,28.96302161618696
181,7,27.16822580645161,22.51277869900646
183,7,31.519516129032258,38.82430814051008
185,7,31.250666666666675,38.35304835412839
187,7,28.020322580645164,15.892967761041152
189,7,22.169482758620692,11.76999655285079
191,7,19.041129032258056,30.291317580737683
193,8,20.363548387096778,36.905582266987366
195,8,13.739285714285716,26.453564753642688
197,8,18.792258064516126,23.830215888507027
199,8,23.83981481481481,30.528713235766645
201,8,21.703709677419358,17.9248057335581
203,8,29.21333333333333,30.334685687871634
205,8,28.282741935483866,23.059191183698445
207,8,32.71209677419355,42.49810505168401
209,8,32.11233333333334,37.947804581653436
211,8,28.875483870967745,15.813532264846396
213,8,22.990344827586206,13.01690441781938
215,8,19.35306451612903,28.716432775545183
217,9,21.11596774193549,38.20613408899323
219,9,15.13089285714286,21.06255506797017
221,9,20.042903225806445,23.32520428071864
223,9,25.57482142857143,27.507305808982576
225,9,23.939999999999994,18.370011236715776
227,9,32.4695,32.4134972866002
229,9,31.580000000000002,28.41198707543571
231,9,35.07709677419354,44.103181425302914
233,9,34.638833333333324,40.773122536949494
235,9,30.703548387096774,12.92544556766599
237,9,23.973666666666666,13.988685748806459
239,9,20.587580645161292,28.269380574280525
241,10,22.43661290322581,36.36415362749351
243,10,16.68839285714286,20.879458489207085
245,10,22.291935483870965,21.786965537835545
247,10,28.638148148148158,28.376881509713893
249,10,26.065645161290327,18.008848305207145
251,10,34.852166666666676,34.38494085545591
253,10,34.851129032258065,31.681019031649814
255,10,38.69822580645162,52.95717402563252
257,10,38.167,46.84284116030597
259,10,33.901774193548384,13.702691767614324
261,10,28.24206896551724,16.879145975518526
263,10,22.06725806451612,29.911131805383977
265,11,24.04596774193549,36.42071511281639
267,11,18.09017857142857,20.506450363478727
269,11,24.369516129032256,21.24754746057065
271,11,30.507962962962964,28.873033829003685
273,11,27.720322580645167,17.183792080012495
275,11,37.12133333333335,38.46936015060894
277,11,37.53354838709676,39.01638418202369
279,11,40.909193548387094,56.304803761973744
281,11,40.928833333333344,50.64758973136486
283,11,37.99,18.728925467704535
285,11,30.741666666666664,21.353862137353328
287,11,23.750161290322584,32.07371449958015
289,12,25.250645161290326,32.12378306129071
291,12,18.818571428571428,18.385298769069035
293,12,25.903548387096773,20.910119050156954
295,12,32.05730769230769,29.499977587825
297,12,28.95290322580646,17.55813479058996
299,12,38.73666666666667,40.58587496707138
301,12,38.895322580645164,40.72664474219107
303,12,43.07145161290323,57.7989476276494
305,12,42.59983333333333,53.04213038079615
307,12,41.082333333333324,23.355022200840327
309,12,32.683,27.785762927078018
311,12,24.609193548387097,31.785781893565055
313,13,25.640161290322574,30.910308367290906
315,13,19.694285714285712,19.167075905142756
317,13,26.844516129032257,22.755924844050828
319,13,33.17192307692307,31.973895368808787
321,13,29.704354838709673,19.510087511923352
323,13,39.717999999999996,41.223720447875046
325,13,40.042096774193546,45.05263932420134
327,13,43.71451612903226,58.76051235962221
329,13,44.68933333333334,58.29938187138797
331,13,42.86870967741935,30.80302361852954
333,13,34.48033333333334,31.154344200327294
335,13,24.95983870967742,33.43545333217294
337,14,26.340967741935486,33.21188598311319
339,14,19.556785714285713,18.247301956528222
341,14,27.606129032258064,20.73032745171523
343,14,33.145357142857144,31.605963970735033
345,14,30.367903225806458,19.478668025070075
347,14,40.45633333333333,44.608155099028146
349,14,40.839838709677416,46.364681016306044
351,14,44.90064516129033,63.62760004988275
353,14,45.43283333333334,58.59915989486161
355,14,44.2382258064516,36.30472079906969
357,14,34.784499999999994,33.23298210500415
359,14,25.059677419354834,31.93946736215067
361,15,26.35032258064516,35.54915733571506
363,15,19.372500000000002,19.956588671433487
365,15,27.611290322580643,25.592610390213213
367,15,33.14388888888889,32.977660265171934
369,15,30.624516129032262,19.01082948647428
371,15,40.91583333333334,46.05676709356935
373,15,41.04129032258064,48.66104815577547
375,15,45.151935483870965,66.70903452397295
377,15,45.40266666666667,60.55569239406749
379,15,44.34951612903226,39.69359647309546
381,15,32.82416666666667,36.77108515830002
383,15,24.22080645161291,32.72336571780759
385,16,25.29032258064516,36.751503178683755
387,16,18.959464285714287,22.84279069900565
389,16,26.961666666666666,26.5307071676936
391,16,32.90740740740742,35.85271914715209
393,16,29.73290322580645,19.79516131255942
395,16,40.351833333333325,48.51508454414461
397,16,41.250806451612895,51.035880452290556
399,16,44.47774193548388,65.43490911553724
401,16,45.010999999999996,64.14561810005728
403,16,43.44967741935484,41.46941559257053
405,16,30.575333333333337,35.06746948591127
408,16,22.934166666666666,29.546053081486676
410,17,23.86887096774194,38.6414918487213
412,17,17.576249999999998,23.887686654612924
414,17,25.950166666666657,26.93952715064877
416,17,32.014259259259255,39.326001781088316
418,17,28.3233870967742,18.162178797074382
420,17,39.64416666666667,50.24824744605241
422,17,40.58064516129032,47.309832113213574
424,17,43.23306451612903,63.53395047321367
426,17,44.031666666666666,63.17693156038005
428,17,41.381129032258066,39.28166618431448
430,17,28.643999999999995,32.89894676191113
433,17,21.953333333333333,33.68379370046566
435,18,23.665645161290325,36.93107432365408
437,18,16.277142857142852,25.313351207478608
439,18,24.50790322580645,28.95306503171249
441,18,30.26339285714286,39.5686284381883
443,18,27.02306451612903,20.44780824042703
445,18,38.046833333333325,48.58041816241177
447,18,39.20016129032257,46.81354698020672
449,18,41.89774193548387,63.467832319190094
451,18,41.12233333333334,62.46114996434166
453,18,37.51758064516129,30.363639475953548
455,18,27.942499999999995,29.124555383670767
458,18,21.47016666666667,30.85169284371341
460,19,23.772419354838707,34.33182729301922
462,19,16.05732142857143,26.068830213774113
464,19,22.841290322580647,29.34028278239504
466,19,27.798076923076923,39.123935898772004
468,19,24.936935483870965,21.410281508778937
470,19,35.99366666666667,46.34966054010369
472,19,36.82225806451613,42.34371990588483
474,19,38.947741935483876,60.28074769487191
476,19,38.101833333333325,56.831038989865064
478,19,34.99145161290322,26.75304250000107
480,19,27.607666666666667,26.64851119124325
483,19,21.055833333333332,31.15057532395898
485,20,23.16225806451613,40.29527706214065
487,20,15.706250000000002,27.853821450839114
489,20,21.91,29.246261278339393
491,20,26.50107142857143,36.37651985142123
493,20,22.98435483870968,19.522051123796583
495,20,32.46199999999999,42.98725330320131
497,20,32.60370967741935,36.84793500796414
499,20,35.788548387096775,56.02693252315547
501,20,36.53366666666668,50.17114138974058
503,20,34.37532258064516,23.07489951929247
505,20,26.89483333333333,22.040663352605286
508,20,20.852166666666665,30.359496590106097
510,21,22.568387096774195,34.50563836390632
512,21,15.107678571428576,22.280789820752858
514,21,21.737903225806456,26.25372956316774
516,21,25.741896551724132,33.99023006978545
518,21,22.281290322580652,19.347373831408174
520,21,30.332833333333333,39.50705555532743
522,21,29.59322580645162,31.580925174565436
524,21,34.47161290322582,49.520108400029955
526,21,35.977333333333334,46.213921038564685
528,21,34.04870967741935,21.447863572460662
530,21,25.937000000000005,19.69229558545385
533,21,20.47783333333333,29.172078333511262
535,22,22.41419354838709,41.275884018779706
537,22,14.909107142857147,23.12486775291257
539,22,21.42967741935483,25.27383886893264
541,22,25.405892857142863,32.92097996594049
543,22,21.747096774193544,16.63526191242005
545,22,29.704499999999992,36.34034894814759
547,22,29.12354838709677,28.125848124885916
549,22,33.39258064516129,44.80868265226694
551,22,35.50466666666667,42.767880875324515
553,22,33.14693548387096,20.248944135596517
555,22,25.502166666666664,17.180959925660854
558,22,20.435500000000005,28.447703477973153
560,23,22.10483870967742,36.39825813034765
562,23,14.682321428571427,24.77268427251283
564,23,20.885483870967743,28.526904843355673
566,23,24.234666666666666,33.03742435346946
568,23,21.24870967741936,17.287659153200007
570,23,29.598833333333335,34.52440728127888
572,23,28.292903225806455,27.76231936700118
574,23,32.971935483870965,44.27265060198288
576,23,34.52100000000001,42.67170405739342
578,23,33.023870967741935,19.837610231930014
580,23,24.861666666666665,16.841245318606834
583,23,20.203333333333337,33.36015492055866
